"artigo";"PR";"DIST";"COR";"VAR";"HIST";"MEAN";"MODE";"QTLE";"SD";"UN";"OUT";"CV";"SKEW";"KURT";"DVIZ";"VRBL";"EXP";"RND";"SMP";"MC";"PCA";"REG"
"17261-73-13852-1-10-20210922.txt";0;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
"17262-73-13853-1-10-20210922.txt";0;0;0;3;0;0;0;0;0;0;0;0;0;0;3;0;12;0;0;0;0;0
"17263-73-13854-1-10-20210922.txt";0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0
"17264-73-13855-1-10-20210922.txt";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0
"17265-73-13856-1-10-20210922.txt";0;0;0;0;0;7;0;0;1;0;0;0;0;0;2;2;23;0;0;0;0;0
"17266-73-13857-1-10-20210922.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;5;0;0;0;0;0
"17267-73-13858-1-10-20210922.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;10;0;0;0;0;0
"17268-73-13859-1-10-20210922.txt";0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;2;0;0;0;0;0
"17269-73-13860-1-10-20210922.txt";0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;6;1;3;0;0;0
"17270-73-13861-1-10-20210922.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0
"17271-73-13862-1-10-20210922.txt";6;0;2;0;5;3;0;0;0;0;0;0;0;0;19;0;37;20;2;0;0;0
"17272-73-13863-1-10-20210922.txt";0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;11;2;0;0;0;0
"17273-73-13864-1-10-20210922.txt";7;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;16;1;0;0;0;0
"17274-73-13865-1-10-20210922.txt";0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
"17275-73-13866-1-10-20210922.txt";0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;19;2;0;0;0;0
