"artigo";"BW";"BPS";"OBERR";"EFF";"MTTF";"MTTR";"FLOPS";"IPS";"IOPS";"NNOPS";"TPUT";"TIME";"RPS";"PPS";"TPS";"UTIL";"AVAIL";"UPDWT";"LAT";"SPDU"
"8652-73-7048-1-10-20191108.txt";0;3;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0
"8653-73-7049-1-10-20191108.txt";0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;2;0;0;0;8
"8654-73-7050-1-10-20191108.txt";0;0;1;4;0;0;0;0;0;0;0;20;0;0;0;2;1;0;0;0
"8655-73-7051-1-10-20191108.txt";0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0
"8656-73-7052-1-10-20191108.txt";0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
"8657-73-7053-1-10-20191108.txt";14;8;2;0;0;0;5;0;0;0;0;1;0;0;0;1;1;0;5;0
"8658-73-7054-1-10-20191108.txt";3;6;0;0;0;0;0;0;0;0;0;25;0;0;0;3;0;0;5;0
"8659-73-7055-1-10-20191108.txt";0;0;0;7;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;1
"8660-73-7056-1-10-20191108.txt";0;0;0;2;0;0;0;0;0;0;0;43;0;0;0;0;0;0;0;14
"8661-73-7057-1-10-20191108.txt";0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;1;0;0;0;0
"8662-73-7058-1-10-20191108.txt";0;0;3;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;18
"8663-73-7059-1-10-20191108.txt";0;0;2;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;27
"8664-73-7060-1-10-20191108.txt";0;3;0;3;0;0;0;0;0;0;1;10;0;0;0;0;0;0;0;6
"8665-73-7061-1-10-20191108.txt";0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0
"8666-73-7062-1-10-20191108.txt";0;0;2;28;0;0;0;0;0;0;0;4;0;0;0;3;0;0;1;0
"8667-73-7063-1-10-20191108.txt";0;0;12;8;0;0;0;0;0;0;0;16;0;0;0;3;0;0;0;0
"8668-73-7064-1-10-20191108.txt";0;0;0;2;0;0;0;0;0;0;0;10;0;0;0;1;0;0;0;2
"8669-73-7065-1-10-20191108.txt";0;0;0;0;0;0;0;0;0;0;0;1;9;0;1;1;1;0;31;0
"8670-73-7066-1-10-20191108.txt";0;0;7;4;0;0;1;0;0;0;0;7;0;0;0;0;0;0;2;0
"8671-73-7068-1-10-20191108.txt";0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;4;0;0;0;0
"8672-73-7067-1-10-20191108.txt";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"8673-73-7069-1-10-20191108.txt";0;0;5;1;0;0;0;0;0;0;0;25;0;0;0;0;1;0;0;0
"8674-73-7070-1-10-20191108.txt";2;4;0;0;0;0;0;0;0;0;0;2;0;0;0;51;6;0;0;0
"8675-73-7071-1-10-20191108.txt";0;0;0;1;1;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0
"8676-73-7072-1-10-20191108.txt";7;0;0;1;0;0;0;0;0;0;14;1;0;0;0;0;0;0;0;1
"8677-73-7073-1-10-20191108.txt";0;17;1;8;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0
"8678-73-7074-1-10-20191108.txt";0;0;2;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;4
"8679-73-7075-1-10-20191108.txt";0;0;1;1;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;5
"8680-73-7076-1-10-20191108.txt";0;0;0;3;0;0;0;0;0;0;0;5;0;0;0;0;1;0;0;0
"8681-73-7077-1-10-20191108.txt";1;0;0;3;0;0;1;0;0;0;3;12;0;0;0;4;0;0;0;15
"8682-73-7078-1-10-20191108.txt";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;3
"8683-73-7079-1-10-20191108.txt";0;0;5;3;0;0;0;0;0;0;0;4;0;0;0;3;0;0;6;0
"8684-73-7080-1-10-20191108.txt";0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;10;3
"8685-73-7081-1-10-20191108.txt";0;0;1;0;0;0;0;0;0;0;0;6;0;0;0;1;0;0;1;4
"8686-73-7082-1-10-20191108.txt";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"8687-73-7083-1-10-20191108.txt";0;0;0;1;0;0;0;0;0;0;0;7;0;0;0;1;1;0;1;6
"8688-73-7084-1-10-20191108.txt";0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;3;1;0;0;2
"8689-73-7085-1-10-20191108.txt";0;0;4;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"8690-73-7086-1-10-20191108.txt";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0
"8691-73-7087-1-10-20191108.txt";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;10
