"artigo";"BW";"BPS";"OBERR";"EFF";"MTTF";"MTTR";"FLOPS";"IPS";"IOPS";"NNOPS";"TPUT";"TIME";"RPS";"PPS";"TPS";"UTIL";"AVAIL";"UPDWT";"LAT";"SPDU"
"14243-73-11140-1-10-20210312.txt";0;0;0;22;0;0;0;0;0;0;0;16;0;0;0;1;0;0;0;0
"14244-73-11141-1-10-20210312.txt";0;0;0;1;0;0;0;7;0;0;0;0;0;0;0;0;1;0;8;0
"14245-73-11142-1-10-20210312.txt";0;1;1;0;0;0;0;0;0;0;0;4;0;0;0;6;2;0;0;0
"14246-73-11143-1-10-20210312.txt";0;0;5;27;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;6
"14247-73-11144-1-10-20210312.txt";0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;3;8
"14248-73-11145-1-10-20210312.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;2
"14249-73-11146-1-10-20210312.txt";1;0;1;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;18
"14250-73-11147-1-10-20210312.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;13
"14251-73-11148-1-10-20210312.txt";0;0;2;0;0;0;2;0;0;0;0;1;0;0;0;1;0;0;0;0
"14252-73-11149-1-10-20210312.txt";22;0;1;0;0;0;0;0;0;0;0;9;0;0;0;0;1;0;4;0
"14253-73-11150-1-10-20210312.txt";0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;13;0;0;6;1
"14254-73-11151-1-10-20210312.txt";0;0;1;0;0;0;0;0;0;0;2;11;0;0;0;0;0;0;3;14
"14255-73-11152-1-10-20210312.txt";2;2;0;2;0;0;0;0;0;0;7;4;0;0;1;18;0;0;6;0
"14256-73-11153-1-10-20210312.txt";0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0
"14257-73-11154-1-10-20210312.txt";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
"14258-73-11155-1-10-20210312.txt";2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;5;1;0;0;0
"14259-73-11156-1-10-20210312.txt";0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;3;3;0;0;0
"14260-73-11157-1-10-20210312.txt";0;0;0;1;0;0;0;0;0;0;0;6;0;0;0;1;0;0;1;3
"14261-73-11158-1-10-20210312.txt";0;2;0;0;0;0;0;0;0;0;0;18;0;0;0;1;2;0;0;31
"14262-73-11159-1-10-20210312.txt";0;0;0;0;0;0;13;1;0;0;0;2;0;0;0;1;0;0;0;0
"14263-73-11160-1-10-20210312.txt";0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;10;0;0;0;0
"14264-73-11161-1-10-20210312.txt";0;2;0;0;0;0;2;0;0;0;5;8;0;0;0;13;0;0;0;0
"14265-73-11162-1-10-20210312.txt";0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;2;0;0;0;58
"14266-73-11163-1-10-20210312.txt";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
