"artigo";"PR";"DIST";"COR";"VAR";"HIST";"MEAN";"MODE";"QTLE";"SD";"UN";"OUT";"CV";"SKEW";"KURT";"DVIZ";"VRBL";"EXP";"RND";"SMP";"MC";"PCA";"REG"
"18969-73-15196-2-10-20220302.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;9;0;0;0;0;0
"18970-73-15197-2-10-20220302.txt";0;3;0;0;5;4;0;0;3;0;0;0;0;0;1;0;20;7;2;0;0;0
"18971-73-15198-2-10-20220302.txt";13;1;0;0;24;17;0;0;12;0;0;0;0;0;2;0;7;3;10;0;0;0
"18972-73-15199-2-10-20220302.txt";0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;13;0;0;0;0;0
"18973-73-15200-2-10-20220302.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;5;3;0;0;0;0
"18974-73-15201-2-10-20220302.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0
"18975-73-15202-1-10-20220302.txt";1;0;1;0;0;6;0;0;0;0;0;0;0;0;1;0;7;0;0;0;0;0
"18976-73-15203-2-10-20220302.txt";0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
"18977-73-15204-2-10-20220302.txt";0;0;0;0;0;3;1;0;0;0;0;0;0;0;2;0;8;1;0;0;0;0
"18978-73-15205-2-10-20220302.txt";2;0;0;0;0;2;0;0;0;0;0;0;0;0;5;0;1;2;0;1;0;0
"18979-73-15206-2-10-20220302.txt";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"18980-73-15207-2-10-20220302.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;7;1;10;0;0;0
"18981-73-15208-2-10-20220302.txt";0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;12;0;0;0;0;0
"18982-73-15209-2-10-20220302.txt";0;0;0;0;0;5;0;0;0;0;0;0;0;0;4;0;1;2;0;0;0;0
"18983-73-15210-2-10-20220302.txt";0;0;0;0;0;2;0;0;2;0;0;0;0;0;4;0;1;0;0;0;0;0
"18984-73-15211-2-10-20220302.txt";0;0;0;0;0;9;0;0;4;0;0;0;0;0;1;0;1;0;1;0;0;0
"18985-73-15212-2-10-20220302.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;7;0;0;0;0;0
"18986-73-15213-2-10-20220302.txt";0;0;0;0;0;6;0;0;2;0;0;0;0;0;2;0;8;1;0;0;0;0
"18987-73-15214-2-10-20220302.txt";1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6;0;0;0;0;0
"18988-73-15215-2-10-20220302.txt";3;1;0;0;0;13;0;0;0;0;1;0;0;0;4;0;11;2;0;0;0;0
"18989-73-15216-2-10-20220302.txt";0;0;0;0;0;4;0;0;0;0;0;0;0;0;4;0;1;1;0;0;0;0
"18990-73-15217-2-10-20220302.txt";0;0;0;4;0;13;0;0;4;1;0;0;0;0;3;0;1;7;0;0;0;0
"18991-73-15218-2-10-20220302.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0
"18992-73-15219-2-10-20220302.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;0;0;0;0;0
