"artigo";"HT";"TTST";"CST";"FISH";"HKDT";"LEVE";"BART";"SWT";"KSTST";"FTST";"WSRT";"ANOVA";"ZTST";"THSD";"UTST";"KWTST";"HYPT";"SL";"CI";"PVAL"
"234-73-245-1983-2-20171017.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"235-73-246-1984-2-20171017.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"236-73-247-1985-2-20171017.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"237-73-248-1986-2-20171017.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"238-73-249-1987-2-20171017.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"239-73-250-1988-2-20171017.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"240-73-251-1989-2-20171017.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"241-73-252-1990-2-20171017.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"242-73-253-1991-2-20171017.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"243-73-254-1992-2-20171017.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"244-73-255-1993-2-20171017.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"245-73-256-1994-2-20171017.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"246-73-257-1995-2-20171017.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"247-73-258-1996-2-20171017.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"248-73-259-1997-2-20171017.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"249-73-260-1998-2-20171017.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"250-73-261-1999-2-20171017.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"251-73-262-2000-2-20171017.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"252-73-263-2001-2-20171017.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"253-73-264-2002-2-20171017.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"254-73-265-2003-2-20171017.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"255-73-266-2004-2-20171017.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"256-73-267-2005-2-20171017.txt";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;1
"257-73-268-2006-2-20171017.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"258-73-269-2007-2-20171017.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"259-73-270-2030-2-20171017.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
